"","grcode","grname","acc_year","dev_year","dev_lag","premium","cum_loss","loss_ratio"
"1",43,"IDS Property Cas Ins Co","1988",1988,1,957,133,0.138975966562173
"2",43,"IDS Property Cas Ins Co","1988",1989,2,957,333,0.347962382445141
"3",43,"IDS Property Cas Ins Co","1988",1990,3,957,431,0.450365726227795
"4",43,"IDS Property Cas Ins Co","1988",1991,4,957,570,0.595611285266458
"5",43,"IDS Property Cas Ins Co","1988",1992,5,957,615,0.642633228840125
"6",43,"IDS Property Cas Ins Co","1988",1993,6,957,615,0.642633228840125
"7",43,"IDS Property Cas Ins Co","1988",1994,7,957,615,0.642633228840125
"8",43,"IDS Property Cas Ins Co","1988",1995,8,957,614,0.641588296760711
"9",43,"IDS Property Cas Ins Co","1988",1996,9,957,614,0.641588296760711
"10",43,"IDS Property Cas Ins Co","1988",1997,10,957,614,0.641588296760711
"11",43,"IDS Property Cas Ins Co","1989",1989,1,3695,934,0.25277401894452
"12",43,"IDS Property Cas Ins Co","1989",1990,2,3695,1746,0.472530446549391
"13",43,"IDS Property Cas Ins Co","1989",1991,3,3695,2365,0.640054127198917
"14",43,"IDS Property Cas Ins Co","1989",1992,4,3695,2579,0.697970230040595
"15",43,"IDS Property Cas Ins Co","1989",1993,5,3695,2763,0.747767253044655
"16",43,"IDS Property Cas Ins Co","1989",1994,6,3695,2966,0.802706359945873
"17",43,"IDS Property Cas Ins Co","1989",1995,7,3695,2940,0.795669824086603
"18",43,"IDS Property Cas Ins Co","1989",1996,8,3695,2978,0.80595399188092
"19",43,"IDS Property Cas Ins Co","1989",1997,9,3695,2978,0.80595399188092
"20",43,"IDS Property Cas Ins Co","1990",1990,1,6138,2030,0.330726621049202
"21",43,"IDS Property Cas Ins Co","1990",1991,2,6138,4864,0.792440534376018
"22",43,"IDS Property Cas Ins Co","1990",1992,3,6138,6880,1.1208862821766
"23",43,"IDS Property Cas Ins Co","1990",1993,4,6138,8087,1.31753014011079
"24",43,"IDS Property Cas Ins Co","1990",1994,5,6138,8595,1.40029325513196
"25",43,"IDS Property Cas Ins Co","1990",1995,6,6138,8743,1.42440534376018
"26",43,"IDS Property Cas Ins Co","1990",1996,7,6138,8763,1.42766373411535
"27",43,"IDS Property Cas Ins Co","1990",1997,8,6138,8762,1.42750081459759
"28",43,"IDS Property Cas Ins Co","1991",1991,1,17533,4537,0.258769178121257
"29",43,"IDS Property Cas Ins Co","1991",1992,2,17533,11527,0.657445959048651
"30",43,"IDS Property Cas Ins Co","1991",1993,3,17533,15123,0.862544915302572
"31",43,"IDS Property Cas Ins Co","1991",1994,4,17533,16656,0.949980037643301
"32",43,"IDS Property Cas Ins Co","1991",1995,5,17533,17321,0.987908515371015
"33",43,"IDS Property Cas Ins Co","1991",1996,6,17533,18076,1.03097017053556
"34",43,"IDS Property Cas Ins Co","1991",1997,7,17533,18308,1.04420236126162
"35",43,"IDS Property Cas Ins Co","1992",1992,1,29341,7564,0.257796257796258
"36",43,"IDS Property Cas Ins Co","1992",1993,2,29341,16061,0.547391022800859
"37",43,"IDS Property Cas Ins Co","1992",1994,3,29341,22465,0.765652159094782
"38",43,"IDS Property Cas Ins Co","1992",1995,4,29341,25204,0.859002760642105
"39",43,"IDS Property Cas Ins Co","1992",1996,5,29341,26517,0.903752428342592
"40",43,"IDS Property Cas Ins Co","1992",1997,6,29341,27124,0.924440203128728
"41",43,"IDS Property Cas Ins Co","1993",1993,1,37194,8343,0.224310372640749
"42",43,"IDS Property Cas Ins Co","1993",1994,2,37194,19900,0.535032532128838
"43",43,"IDS Property Cas Ins Co","1993",1995,3,37194,26732,0.718718072807442
"44",43,"IDS Property Cas Ins Co","1993",1996,4,37194,30079,0.808705705221272
"45",43,"IDS Property Cas Ins Co","1993",1997,5,37194,31249,0.840162391783621
"46",43,"IDS Property Cas Ins Co","1994",1994,1,46095,12565,0.272589217919514
"47",43,"IDS Property Cas Ins Co","1994",1995,2,46095,26922,0.584054669703872
"48",43,"IDS Property Cas Ins Co","1994",1996,3,46095,33867,0.734721770257078
"49",43,"IDS Property Cas Ins Co","1994",1997,4,46095,38338,0.831717105976787
"50",43,"IDS Property Cas Ins Co","1995",1995,1,51512,13437,0.26085184034788
"51",43,"IDS Property Cas Ins Co","1995",1996,2,51512,26012,0.504969715794378
"52",43,"IDS Property Cas Ins Co","1995",1997,3,51512,31677,0.614944090697313
"53",43,"IDS Property Cas Ins Co","1996",1996,1,52481,12604,0.24016310664812
"54",43,"IDS Property Cas Ins Co","1996",1997,2,52481,23446,0.44675215792382
"55",43,"IDS Property Cas Ins Co","1997",1997,1,56978,12292,0.215732387939205
